"city","review_count.x","funny","useful","cool","review_count.y","yelp.votes.funny","yelp.votes.useful","yelp.votes.cool","cuisine","wcount","qmark","emark","stars"
"Others",4,24,60,11,85,0,1,0,"Japanese",71,0,1,5
"Others",22,89,148,88,57,1,4,2,"Japanese",174,0,0,5
"Others",39,0,0,1,14,0,0,0,"Japanese",10,0,3,5
"Others",39,84,112,34,129,1,1,0,"Japanese",4,0,0,2
"Others",23,10,52,12,53,0,2,0,"Japanese",254,1,10,1
"Others",34,651,1175,740,518,0,2,1,"Japanese",102,1,0,2
"Others",34,11,36,3,47,0,6,0,"Japanese",668,4,5,1
"Others",26,7,62,14,131,0,0,1,"Japanese",30,0,0,4
"Others",39,0,4,2,4,0,1,1,"Japanese",34,0,0,4
"Others",23,0,19,1,14,0,1,0,"Japanese",86,0,1,1
"Others",23,0,1,0,2,0,1,0,"Japanese",299,0,0,1
"Others",39,0,2,0,4,0,0,0,"Japanese",47,0,0,4
"Others",39,17,60,24,30,0,0,0,"Japanese",135,0,1,5
"Others",9,0,2,0,1,0,2,0,"Japanese",19,0,2,4
"Others",7,18,76,25,173,0,2,1,"Japanese",187,0,5,1
"Others",5,122,263,187,151,1,2,1,"Japanese",57,0,1,4
"Others",22,0,2,1,1,0,1,0,"Japanese",58,0,0,5
"Others",5,361,733,435,289,0,1,0,"Japanese",227,3,2,2
"Others",26,1,5,0,4,0,1,0,"Japanese",36,0,3,5
"Others",34,2,11,4,11,0,2,0,"Japanese",327,6,5,2
"Others",34,13,32,6,23,1,2,1,"Japanese",332,2,0,2
"Others",7,15,32,14,36,3,0,0,"Japanese",189,0,0,1
"Others",26,14,17,4,17,1,0,0,"Japanese",190,0,2,4
"Others",4,2,19,3,20,0,1,0,"Japanese",15,0,1,5
"Others",39,1,2,1,2,1,2,1,"Japanese",66,0,0,5
"Others",39,93,408,117,422,0,0,0,"Japanese",52,1,1,4
"Others",34,56,147,72,106,0,2,0,"Japanese",142,0,0,3
"Others",39,2,3,1,13,0,0,0,"Japanese",60,0,0,5
"Others",26,8,36,13,80,0,0,0,"Japanese",104,0,0,4
"Others",39,19,61,24,26,0,1,1,"Japanese",154,0,0,4
"Others",22,3,41,9,28,0,1,1,"Japanese",136,0,0,4
"Others",23,19,48,22,16,2,3,1,"Japanese",144,2,3,1
"Others",9,12,22,2,22,0,3,0,"Japanese",82,0,4,2
"Others",39,0,1,1,7,0,0,0,"Japanese",36,0,0,4
"Others",26,7,28,4,10,0,1,0,"Japanese",90,0,2,4
"Others",26,1,13,2,10,0,2,0,"Japanese",88,0,1,4
"Others",26,36,94,42,93,1,2,1,"Japanese",117,0,1,3
"Others",26,0,0,0,1,0,0,0,"Japanese",21,0,1,4
"Others",34,4,14,6,12,0,2,1,"Japanese",99,0,0,2
"Others",84,1,6,0,7,0,0,0,"Korean",7,0,0,4
"Others",12,52,72,43,26,2,2,2,"Korean",22,0,1,5
"Others",84,28,78,49,54,0,1,0,"Korean",168,0,1,3
"Others",84,183,551,218,232,0,1,1,"Korean",34,0,0,3
"Others",84,42,82,46,58,1,1,1,"Korean",75,0,0,3
"Others",84,108,258,130,661,0,0,0,"Korean",91,0,2,3
"Others",84,1,18,4,8,0,2,0,"Korean",120,0,1,5
"Others",84,0,1,0,6,0,0,0,"Korean",88,0,0,3
"Others",84,0,2,3,7,0,0,0,"Korean",22,0,0,5
"Others",84,5,29,6,13,0,0,0,"Korean",272,0,1,4
"Others",84,4,22,3,29,0,1,0,"Korean",192,0,1,2
"Others",84,242,442,193,229,1,2,1,"Korean",90,0,0,2
"Others",84,35,140,58,198,0,0,0,"Korean",128,0,3,4
"Others",12,1,2,0,6,0,0,0,"Korean",235,0,0,4
"Others",84,36,94,42,93,0,0,0,"Korean",173,2,0,3
"Others",84,341,619,536,140,7,12,11,"Korean",88,0,0,4
"Others",5,1667,1741,1663,349,2,3,2,"French",121,0,0,3
"Others",65,48,168,59,112,1,1,0,"Mexican",35,4,0,2
"Others",145,0,2,1,12,0,0,0,"Mexican",14,0,2,4
"Others",10,53,118,45,79,0,1,0,"Mexican",42,0,0,4
"Others",145,36,231,76,144,0,0,0,"Mexican",80,0,3,4
"Others",55,0,3,0,1,0,2,0,"Mexican",11,0,0,5
"Others",13,0,0,0,1,0,0,0,"Mexican",3,0,0,1
"Others",59,0,7,0,16,0,0,0,"Mexican",59,0,0,3
"Others",8,3,0,0,2,3,0,0,"Mexican",30,1,1,2
"Others",39,1,10,1,12,0,0,0,"Mexican",90,0,0,5
"Others",39,0,0,0,1,0,0,0,"Mexican",7,0,0,4
"Others",39,2,8,1,10,0,0,0,"Mexican",84,0,0,4
"Others",24,5,9,1,28,0,0,0,"Mexican",52,0,0,4
"Others",29,8,28,4,14,0,1,0,"Mexican",120,0,2,5
"Others",27,0,0,0,1,0,0,0,"Mexican",13,0,0,5
"Others",39,13,67,17,31,1,1,0,"Mexican",125,0,1,2
"Others",25,0,3,2,3,0,0,1,"Mexican",65,0,0,5
"Others",59,72,296,108,323,0,0,0,"Mexican",103,0,0,4
"Others",29,5,9,4,7,0,1,1,"Mexican",37,1,0,4
"Others",4,1205,2404,1504,725,0,3,0,"Mexican",90,0,0,5
"Others",145,0,1,0,3,0,0,0,"Mexican",76,0,1,5
"Others",29,0,4,4,22,0,0,0,"Mexican",9,0,1,4
"Others",17,249,588,525,180,0,1,0,"Mexican",92,0,0,4
"Others",31,2,9,5,5,0,0,0,"Mexican",158,0,3,4
"Others",65,0,0,0,4,0,0,0,"Mexican",14,0,0,3
"Others",41,0,2,0,1,0,2,0,"Mexican",59,0,0,1
"Others",46,21,48,16,46,1,4,1,"Mexican",159,0,1,5
"Others",25,13,57,20,77,0,0,0,"Mexican",27,0,0,3
"Others",9,276,791,427,411,1,3,1,"Mexican",140,0,0,3
"Others",5,52,72,43,26,1,1,1,"Mexican",221,0,0,1
"Others",13,408,819,557,252,2,2,2,"Mexican",83,0,3,5
"Others",24,22,91,22,61,0,0,0,"Mexican",17,0,0,1
"Others",145,5,31,4,41,0,0,0,"Mexican",55,0,0,1
"Others",9,7,66,28,31,2,2,1,"Mexican",140,0,0,4
"Others",10,2,24,4,27,0,1,1,"Mexican",37,0,3,5
"Others",15,0,3,0,7,0,1,0,"Mexican",43,0,0,4
"Others",29,10,8,2,30,0,2,1,"Mexican",62,0,0,5
"Others",145,6,11,3,21,0,0,0,"Mexican",140,0,4,4
"Others",4,0,1,0,1,0,1,0,"Mexican",124,0,0,1
"Others",145,42,113,41,206,0,1,0,"Mexican",102,0,0,4
"Others",39,0,6,2,9,0,0,0,"Mexican",29,0,0,3
"Others",41,8,6,1,11,0,1,0,"Mexican",87,0,0,2
"Others",24,2,10,2,6,0,1,0,"Mexican",28,0,0,5
"Others",59,11,82,23,80,0,1,0,"Mexican",374,0,1,4
"Others",31,2,1,1,4,1,0,0,"Mexican",59,0,8,5
"Others",145,28,106,45,56,0,2,0,"Mexican",38,0,0,4
"Others",31,1,2,0,7,0,0,0,"Mexican",211,0,4,5
"Others",24,31,153,49,101,0,0,0,"Mexican",212,0,0,4
"Others",5,1,13,2,29,0,0,0,"Mexican",23,0,0,3
"Others",59,36,110,18,64,0,2,0,"Mexican",278,0,5,1
"Others",6,180,208,81,137,0,2,2,"Mexican",166,0,5,5
"Others",13,12,91,17,67,0,3,0,"Mexican",199,0,0,2
"Others",46,8,8,2,11,0,1,0,"Mexican",126,0,0,3
"Others",31,9,21,5,20,0,1,0,"Mexican",8,0,0,1
"Others",10,1,2,0,4,1,1,0,"Mexican",104,2,0,4
"Others",24,2,18,2,12,0,1,0,"Mexican",125,0,7,5
"Others",7,1,7,2,16,1,0,0,"Mexican",47,0,0,4
"Others",31,101,283,190,107,0,0,0,"Mexican",292,1,0,2
"Others",55,1,23,3,11,0,2,0,"Mexican",50,0,0,4
"Others",46,1,2,0,2,0,2,0,"Mexican",14,0,0,5
"Others",10,90,198,92,170,0,1,0,"Mexican",42,0,1,4
"Others",21,21,67,8,22,0,0,0,"Mexican",60,3,0,2
"Others",6,1,2,1,2,0,0,0,"Mexican",49,0,0,5
"Others",145,25,38,13,50,0,0,0,"Mexican",33,1,0,4
"Others",17,17,21,16,20,0,1,0,"Mexican",68,0,2,5
"Others",65,15,20,16,22,2,3,1,"Mexican",150,0,0,4
"Others",55,2,20,8,12,0,1,1,"Mexican",43,0,2,5
"Others",27,2,15,3,37,0,1,0,"Mexican",20,0,1,5
"Others",21,19,75,24,75,0,0,0,"Mexican",64,0,1,3
"Others",3,1,2,0,1,0,1,0,"Mexican",218,3,2,1
"Others",59,3,10,4,38,0,0,0,"Mexican",25,0,7,5
"Others",13,4,11,3,13,0,0,0,"Mexican",97,0,0,1
"Others",24,5,26,4,20,0,1,0,"Mexican",4,0,0,5
"Others",59,7,7,3,8,2,3,1,"Mexican",42,0,0,2
"Others",145,72,183,81,155,0,1,1,"Mexican",289,0,0,2
"Others",25,15,37,19,46,0,0,0,"Mexican",220,0,0,4
"Others",9,30,94,27,102,0,0,0,"Mexican",87,0,0,3
"Others",46,5,30,8,51,0,0,0,"Mexican",25,0,4,5
"Others",21,0,0,0,1,0,0,0,"Mexican",70,0,0,3
"Others",17,151,492,340,90,0,3,1,"Mexican",144,0,0,3
"Others",6,371,626,327,180,1,5,1,"Mexican",239,0,0,4
"Others",145,6,14,6,91,0,0,0,"Mexican",12,0,0,4
"Others",59,6,33,7,22,0,1,0,"Mexican",302,0,1,1
"Others",17,78,236,117,129,0,1,1,"Mexican",65,0,0,3
"Others",8,0,2,0,2,0,0,0,"Mexican",22,0,0,2
"Others",13,2,9,1,13,0,0,0,"Mexican",313,6,2,1
"Others",10,1,11,4,6,0,0,0,"Mexican",70,0,11,5
"Others",55,0,2,0,3,0,0,0,"Mexican",204,0,0,5
"Others",145,46,118,69,144,0,0,0,"Mexican",202,0,2,4
"Others",10,5,14,5,17,1,2,0,"Mexican",9,0,0,3
"Others",145,7,28,8,25,0,0,0,"Mexican",165,1,3,3
"Others",17,107,224,116,130,0,0,0,"Mexican",58,0,0,4
"Others",25,59,121,62,112,1,1,1,"Mexican",141,0,0,4
"Others",59,16,50,13,45,0,0,0,"Mexican",14,0,0,4
"Others",65,9,13,4,19,0,0,0,"Mexican",21,0,0,3
"Others",10,1,3,2,4,0,0,1,"Mexican",78,0,0,1
"Others",9,0,1,1,4,0,0,0,"Mexican",58,0,0,3
"Others",10,18,119,33,165,0,0,0,"Mexican",100,0,1,4
"Others",29,408,819,557,252,3,5,4,"Mexican",155,0,5,5
"Others",12,5,24,3,18,0,1,0,"Mexican",111,1,1,5
"Others",31,0,4,1,5,0,1,0,"Mexican",52,0,0,4
"Others",24,2,13,2,17,0,2,1,"Mexican",104,0,0,2
"Others",39,3,8,1,5,0,2,0,"Mexican",51,0,4,1
"Others",27,30,148,46,180,0,2,0,"Mexican",68,0,0,4
"Others",145,13,26,13,20,1,1,1,"Mexican",74,0,1,3
"Others",10,5,22,9,24,3,2,2,"Mexican",230,0,0,5
"Others",9,48,138,61,149,0,1,0,"Mexican",97,0,0,3
"Others",9,0,3,1,7,0,0,0,"Mexican",160,0,0,1
"Others",4,0,2,0,6,0,0,0,"Mexican",4,0,1,4
"Others",65,37,187,102,132,0,3,0,"Mexican",182,0,0,4
"Others",25,1,7,2,11,0,0,0,"Mexican",177,0,1,2
"Others",3,62,244,103,376,0,0,0,"Mexican",63,0,0,4
"Others",5,0,1,0,1,0,1,0,"Mexican",84,0,0,5
"Others",19,136,176,98,46,0,2,0,"Mexican",194,0,0,3
"Others",145,136,378,111,298,0,0,0,"Mexican",48,0,0,3
"Others",29,293,662,213,526,0,0,0,"Mexican",76,0,0,4
"Others",145,56,117,62,74,0,0,0,"Mexican",187,0,0,4
"Others",9,27,60,44,56,0,0,0,"Mexican",95,0,0,2
"Others",31,1890,3104,2342,479,0,5,4,"Mexican",46,0,0,4
"Others",145,15,52,23,127,0,1,0,"Mexican",69,0,0,4
"Others",3,0,5,0,7,0,2,0,"Mexican",57,0,0,5
"Others",39,2,19,1,10,0,0,0,"Mexican",133,0,1,5
"Others",145,35,172,62,142,0,0,0,"Mexican",250,0,0,2
"Others",4,12,68,19,72,0,0,0,"Mexican",78,0,0,3
"Others",145,17,50,5,25,0,0,0,"Mexican",118,0,1,2
"Others",4,22,41,22,37,0,0,0,"Mexican",245,1,0,3
"Others",145,759,1298,1053,356,0,2,2,"Mexican",208,0,1,4
"Others",24,48,168,59,112,1,1,0,"Mexican",111,0,0,4
"Others",29,61,150,37,76,4,4,0,"Mexican",649,9,3,1
"Others",145,12,27,9,20,2,2,1,"Mexican",146,0,1,4
"Others",31,1,7,2,16,0,0,0,"Mexican",54,0,0,1
"Others",15,96,208,110,122,0,1,1,"Mexican",112,0,0,2
"Others",145,3,6,1,11,0,0,0,"Mexican",12,0,0,5
"Others",4,0,0,0,4,0,0,0,"Mexican",20,0,0,5
"Others",29,0,1,0,7,0,0,0,"Mexican",124,0,0,5
"Others",31,7,33,14,23,1,1,0,"Mexican",131,0,0,2
"Others",8,0,10,4,13,0,0,0,"Mexican",74,1,1,1
"Others",29,106,448,263,481,0,0,0,"Mexican",204,0,0,4
"Others",29,51,154,29,121,0,0,1,"Mexican",264,1,3,3
"Others",20,33,40,27,32,1,1,1,"Mexican",153,0,1,2
"Others",39,1,13,1,18,0,0,0,"Mexican",44,0,0,4
"Others",13,1492,2132,1502,1107,0,1,0,"Mexican",136,0,0,3
"Others",10,2,10,1,20,0,0,0,"Mexican",12,0,0,4
"Others",31,14,83,13,112,0,0,0,"Mexican",81,0,0,2
"Others",4,5,9,1,5,0,1,0,"Mexican",97,0,0,4
"Others",27,104,236,144,165,1,1,1,"Mexican",43,0,0,3
"Others",6,1,8,1,7,0,0,0,"Mexican",4,0,1,5
"Others",29,35,88,28,33,0,2,0,"Mexican",154,0,0,2
"Others",31,19,9,6,18,0,0,0,"Mexican",143,0,0,2
"Others",46,2,7,3,5,0,1,0,"Mexican",17,0,6,5
"Others",145,280,660,291,333,0,0,0,"Mexican",38,0,1,4
"Others",65,21,86,24,276,0,0,0,"Mexican",47,0,0,5
"Others",46,19,15,7,10,1,1,1,"Mexican",441,3,2,5
"Others",13,3,17,10,10,0,0,0,"Mexican",220,0,0,4
"Others",6,103,284,123,134,0,0,0,"Mexican",115,0,2,4
"Others",65,0,1,0,3,0,0,0,"Mexican",2,0,0,5
"Others",24,2,36,12,13,0,3,2,"Mexican",24,0,0,1
"Others",65,0,7,4,14,0,0,0,"Mexican",23,0,5,5
"Others",9,0,0,0,2,0,0,0,"Mexican",32,0,1,4
"Others",20,1,10,1,21,0,0,0,"Mexican",1,0,0,1
"Others",39,16,75,16,96,0,1,0,"Mexican",62,0,1,5
"Others",39,3,43,7,47,0,2,0,"Mexican",107,0,0,1
"Others",10,0,0,0,2,0,0,0,"Mexican",29,0,3,5
"Others",21,22,134,56,54,0,1,1,"Mexican",79,0,1,4
"Others",65,14,56,17,27,1,3,2,"Mexican",225,1,5,4
"Others",6,20,43,12,65,0,0,1,"Mexican",24,0,0,5
"Others",145,10,29,16,22,0,1,0,"Mexican",164,0,0,4
"Others",19,75,382,156,161,0,1,1,"Mexican",312,0,0,3
"Others",145,1206,1049,867,201,2,3,2,"Mexican",145,0,0,5
"Others",19,0,11,1,13,0,0,0,"Mexican",62,0,0,5
"Others",59,0,0,0,3,0,0,0,"Mexican",8,0,2,5
"Others",5,83,178,71,107,0,1,0,"Mexican",166,0,0,4
"Others",59,1492,2132,1502,1107,1,1,1,"Mexican",79,0,0,3
"Others",29,0,25,3,22,0,1,0,"Mexican",33,0,0,3
"Others",15,17,71,21,79,0,0,0,"Mexican",112,0,1,4
"Others",55,0,2,2,1,0,1,1,"Mexican",104,0,6,5
"Others",4,4,16,8,60,0,0,0,"Mexican",12,0,3,4
"Others",41,1,1,0,4,0,0,0,"Mexican",29,0,0,2
"Others",8,1,3,2,12,0,0,0,"Mexican",28,0,3,5
"Others",65,386,1010,638,173,0,1,1,"Mexican",167,0,0,4
"Others",8,0,3,0,7,0,0,0,"Mexican",15,0,1,5
"Others",7,0,2,0,2,0,1,0,"Mexican",21,0,2,5
"Others",24,2,4,1,8,0,0,0,"Mexican",54,0,1,5
"Others",15,1060,1279,1007,177,7,2,4,"Mexican",17,0,0,2
"Others",145,29,87,43,82,0,0,0,"Mexican",193,0,6,4
"Others",6,43,59,22,40,0,1,0,"Mexican",181,0,3,4
"Others",10,430,896,506,445,1,0,2,"Mexican",77,0,0,4
"Others",145,0,2,1,5,0,1,1,"Mexican",107,0,1,5
"Others",19,49,162,92,57,2,2,0,"Mexican",305,2,0,3
"Others",65,34,56,41,29,1,1,1,"Mexican",130,0,0,4
"Others",6,0,2,1,4,0,1,1,"Mexican",106,0,3,5
"Others",65,5,18,3,16,0,1,0,"Mexican",37,0,0,5
"Others",9,238,554,319,377,2,2,2,"Mexican",117,0,0,4
"Others",4,1175,1598,1458,286,1,2,1,"Mexican",21,0,0,1
"Others",3,0,5,0,7,0,0,0,"Mexican",15,0,4,4
"Others",6,0,2,0,8,0,0,0,"Mexican",83,0,0,5
"Others",10,0,5,0,4,0,1,0,"Mexican",46,0,0,5
"Others",6,3,15,1,15,0,0,0,"Mexican",48,0,2,4
"Others",10,21,90,17,78,0,1,0,"Mexican",22,0,0,2
"Others",9,38,90,42,57,1,2,1,"Mexican",97,0,2,2
"Others",29,0,0,1,1,0,0,1,"Mexican",81,0,2,5
"Others",21,38,58,17,61,0,1,0,"Mexican",90,0,0,3
"Others",8,3,18,2,25,0,1,0,"Mexican",70,0,0,4
"Others",29,725,1178,1076,268,3,2,2,"Mexican",240,0,11,4
"Others",41,2382,4148,2932,578,1,3,2,"Mexican",102,0,2,5
"Others",39,0,14,3,25,0,0,0,"Mexican",56,0,5,4
"Others",7,50,173,116,77,0,1,1,"Mexican",73,1,0,3
"Others",13,5,13,6,20,0,0,0,"Mexican",26,0,1,5
"Others",59,13,72,17,76,0,0,0,"Mexican",155,0,1,5
"Others",27,2,1,1,6,1,1,1,"Mexican",162,0,0,5
"Others",24,0,7,1,7,0,0,0,"Mexican",277,1,1,3
"Others",25,2,7,8,15,0,0,0,"Mexican",160,0,8,5
"Others",20,3,22,4,20,0,4,0,"Mexican",79,0,0,1
"Others",29,4,12,6,4,0,2,1,"Mexican",237,0,0,3
"Others",8,1,4,0,2,0,1,0,"Mexican",18,0,0,4
"Others",31,23,98,42,66,0,1,0,"Mexican",65,0,0,3
"Others",6,0,4,2,4,0,1,1,"Mexican",33,0,0,4
"Others",145,67,363,174,464,0,0,0,"Mexican",81,0,0,4
"Others",31,1492,2132,1502,1107,1,1,1,"Mexican",47,0,0,3
"Others",3,7,17,4,8,4,6,3,"Mexican",256,0,2,4
"Others",46,0,1,0,2,0,0,0,"Mexican",14,0,2,4
"Others",46,0,3,0,3,0,0,0,"Mexican",30,0,1,5
"Others",55,1492,2132,1502,1107,2,8,1,"Mexican",355,2,0,2
"Others",29,13,28,11,34,1,1,1,"Mexican",226,0,0,5
"Others",149,0,1,0,4,0,0,0,"Mediterranean",97,0,1,5
"Others",149,1,14,1,28,0,0,0,"Mediterranean",24,0,2,4
"Others",149,166,290,207,117,0,5,2,"Mediterranean",91,0,4,2
"Others",149,1,2,2,9,1,1,1,"Mediterranean",198,0,3,4
"Others",149,10,22,3,31,0,0,0,"Mediterranean",44,0,0,5
"Others",149,6,23,6,49,0,0,0,"Mediterranean",67,0,0,4
"Others",149,1,1,0,3,1,0,0,"Mediterranean",174,0,2,5
"Others",149,21,131,52,83,0,0,0,"Mediterranean",66,0,6,5
"Others",149,8,27,15,13,0,4,3,"Mediterranean",437,0,0,5
"Others",149,6,39,5,32,0,0,0,"Mediterranean",58,0,0,5
"Others",149,24,102,48,57,0,0,0,"Mediterranean",94,0,0,3
"Others",149,49,197,44,286,0,2,0,"Mediterranean",127,0,0,3
"Others",149,14,65,15,66,0,2,0,"Mediterranean",163,0,2,3
"Others",149,4943,10629,8991,1253,8,11,9,"Mediterranean",106,0,1,4
"Others",149,0,5,0,5,0,1,0,"Mediterranean",154,0,3,1
"Others",149,253,629,409,159,0,1,1,"Mediterranean",7,0,1,5
"Others",149,35,184,55,162,0,0,0,"Mediterranean",269,0,0,4
"Others",149,54,212,89,229,0,0,0,"Mediterranean",163,0,0,4
"Others",149,90,253,106,138,1,2,1,"Mediterranean",52,0,0,5
"Others",149,1187,1376,1200,295,4,4,4,"Mediterranean",365,1,0,3
"Others",149,0,13,1,17,0,0,0,"Mediterranean",63,0,8,5
"Others",149,803,1453,1155,481,4,6,5,"Mediterranean",76,0,1,5
"Others",149,39,98,62,50,1,4,3,"Mediterranean",277,0,0,5
"Others",149,29,84,38,96,0,0,0,"Mediterranean",85,1,6,5
"Others",149,19,62,7,59,0,0,0,"Mediterranean",60,0,0,1
"Others",149,18,45,33,21,1,4,2,"Mediterranean",351,0,1,4
"Others",149,28,160,42,88,0,4,1,"Mediterranean",49,0,1,1
"Others",149,10,61,30,57,0,0,0,"Mediterranean",100,0,0,5
"Others",149,86,297,127,171,0,0,1,"Mediterranean",173,0,3,4
"Others",149,29,82,30,21,0,0,0,"Mediterranean",65,1,0,3
"Others",149,2,7,2,16,0,0,0,"Mediterranean",116,0,0,4
"Others",149,143,335,206,182,0,1,0,"Mediterranean",272,0,0,4
"Others",149,1209,2685,2025,900,1,5,4,"Mediterranean",66,0,1,5
"Others",149,0,8,2,8,0,0,0,"Mediterranean",30,0,2,5
"Others",149,23,169,25,80,0,2,1,"Mediterranean",120,0,1,5
"Others",149,68,108,33,188,0,2,0,"Mediterranean",436,1,10,5
"Others",8,4,51,17,56,0,1,0,"Breakfast",5,0,0,4
"Others",49,101,283,190,107,0,2,1,"Breakfast",239,0,2,4
"Others",6,421,955,568,398,0,2,0,"Breakfast",428,0,0,3
"Others",49,1,7,2,5,0,1,1,"Breakfast",85,0,0,4
"Others",22,38,93,43,145,1,1,0,"Breakfast",100,0,0,3
"Others",3,7,24,6,22,0,0,0,"Breakfast",6,0,1,4
"Others",35,0,0,0,1,0,0,0,"Breakfast",75,0,5,5
